"text","spam"
"Subject: secretly record all internet activity on any computer . . . taf  find out who they are chatting / e - mailing with all those hours !  is your spouse cheating online ?  are your kids talking to dangerous people on instant messenger ?  find out now ! - with big brother instant software download .  click on this link now to see actual screenshots and to order !  to be excluded from future contacts please visit :  http : / / 213 . 139 . 76 . 69 / php / remove . php  bacalau",1
"Subject: all graphics software available , cheap oem versions .  good morning ,  we we offer latest oem packages of all graphics and publishing software from corel , macromedia , adobe and others .  $ 80 adobe photoshop 8 . 0 / cs  $ 140 macromedia studio mx 2004  $ 120 adobe acrobat 7 . 0 professionai  $ 150 adobe premiere pro 1 . 5  $ 90 corel designer 10  $ 90 quickbooks 2004 professional edition  $ 75 adobe pagemaker 7 . 0  $ 70 xara x vl . 1  $ 75 adobe audition 1 . 5  $ 90 discreet 3 d studio max 7  $ 115 adobe golive cs  $ 135 adobe after effects 6 . 5 standard  $ 45 adobe premiere eiements  $ 125 corei painter lx  $ 80 adobe iliustrator cs  $ 80 adobe indesiqn cs  $ 240 adobe creative suite  $ 140 adobe framemaker 7 . 1  $ 50 ulead cool 3 d production studio 1 . 0 . 1  $ 90 aiias motion builder 6 professionai  $ 30 quicken 2004 premier home & biz  $ 30 adobe photoshop eiements 3 . 0  $ 110 adobe premiere pro 7 . 0  learn more . . .  sincerely ,  breanne ",1
"Subject: 6 steps to a no fear portfolio - 50 % roi per trade  if you are averaging more than 50 % r . o . i . per trade . . .  if your annual returns are well over 300 % . . .  if you know how to profit in any market condition . . .  if you know how to convert losing trades into winning trades . . .  then you don ' t need our free online seminar .  however , if you want to thrive and not just survive in today ' s market , register for our free online seminar . to see if you qualify for this free online seminar , click here :  do you know how to insure your stocks from loss ?  you insure your home , why not insure your stock portfolio ? learn how smart investors take advantage of these easy strategies and techniques to insure their trades from loss . it ' s no secret , you just need to learn how to do it .  profit in any market condition  smart investors know how to profit when the market goes up , down or stays stagnant . now is your chance to learn the secrets of successful traders . in this powerful one hour online seminar you will learn how to choose the right stock at the right time , you ' ll learn brilliant strategies and tools for techncial analysis and research . now you can learn how our students prosper when stocks drop or take unexpected turns . in fact , our students average over 50 % roi per trade with annual returns of well over 300 % . it ' s your turn . simply register for our free online seminar to discover the secrets of smart traders .  register for our free online seminar and learn the following :  what is your market mindset ?  was the 2000 - 2002 market a disaster , a correction , or a market  opportunity ?  how do you profit from a volatile market ?  how do you use options to hedge risk ?  how do you insure your trades ?  how do you profit when a stock goes up , down or sideways ?  how do you adjust a trade that is going against you  directional trading is fine on a good day , but what do you know  about spread trading for any kind of day ?  how do you implement a no fear / no risk trading system ?  how do i get help as i go through this process ?  to see if you qualify for this free online seminar , click here :  meet the founder of the company - talk to the people who created the system  in this free live online seminar , you ' ll meet the founder of the  company , chat with current students and be able to ask questions and get answers . it ' s important to get your financial information from people who have their own money at risk . meet greg jensen , cofounder of spread trade systems .  results are really all that matters . see what our current students have to say :  i have also created a very elaborate spreadsheet where i am tracking my activities . i keep one page which tracks my trading history . this is only for trades which have completed from start to finish . to date , i have completed 19 trades for an overall profit of $ 15 , 925 . 00 , at an average 77 percent roi . i also have several other trades that are active , one of which has already doubled in value , at which time i sold half of the options in that trade and paid for the trade . it is now a ' free ' trade . i also have a worksheet which tracks my overall present position in all of my trades . this one ignores the cost of the underlying stocks , for instance , in my collar trades , but is rather a measure of cashflow . my current ytd total is over $ 33 k . . .  - bob hendricks ( july 2004 ) i have been trading since october of 2002 . i started with $ 14 , 000 and within 1 year my portfolio is worth over $ 180 , 000 . spread trade strategies are simple and easy to understand . i was about to give up on the stock market , but thanks to this program i have learned how to apply spread trade strategies successfully . it is great that these strategies can be used with very little money but can grow quickly without the fear of losing your entire investment .  - ruben p . ( 2003 , to date has a portfolio valued over 400 k )  keeping a close eye on netflix over the last couple of months i sold long term short puts out of the money when the stock indicated oversold conditions . as the stock bounced back and showed over bought signals i offloaded the puts and sold calls against my stock . last month netflix options alone made me over $ 3 , 000 . opening up the wealthbuilder a few weeks ago i saw a recommendation for a call calendar . at the time i wanted to enter a credit trade instead of a debit trade and entered a bear call based on technical indicators . all options expired worthless and i pocketed the entire credit . this month i placed some covered calls and bull puts on taser as it rocketed up . i closed all positions after 10 days with a $ 1500 profit . many companies proudly advertise big percentage gains . many times i ' ve asked those companies if those big gains hide big losses - all with the exception of sts was hiding big losing trades . my record this year is 14 out of the 18 stocks i ' ve traded have made money . it ' s not the 49 out of 50 that fasi and greg get but with each month i refine my system and keep closing the gap . the education sts provides is invaluable . without it my approach would have been that of a gambler . with it my approach is systematic and disciplined and consistently profitable .  - gareth ( july 2004 )  nofearinvesting 150 clovis ave . , ste . 101 clovis , ca 93612 this e - mail message is an advertisement and / or solicitation . ",1
"Subject: unbelievable new homes for the usa !  it ' s a beautiful day today  homeowner  you have been pre - approved for a $ 431 , 221 home loan at a 3 . 29 fixed rate .  this offer is being extended to you unconditionally and your credit is in no way a factor .  to take advantage of this limited time opportunity  all we ask is that you visit our website and complete  the 1 minute post approval form  have a good day ,  shemika kelly",1
"Subject: best mortgage rate vjd  with regards to  want to refinance ?  fill out this quick form and immediately have mortgage  companies compete for you business .  you will be offered the , absolute , best refinance rates  available !  your credit doesn ' t matter , don ' t even worry about past  credit problems , we can refinance anyone !  let us put our expertise to work for you !  http : / / 66 . 230 . 217 . 86  or site 2  http : / / agileconcepts . com / 74205 /  erase  http : / / 66 . 230 . 217 . 86 / optout . htm",1
"Subject: localized software , all languages available .  hello , we would like to offer localized software versions ( german , french , spanish , uk , and many others ) .  aii iisted software is avaiiable for immediate download !  no need to wait 2 - 3 week for cd delivery !  just few exampies :  - norton internet security pro 2005 - $ 29 . 95  - windows xp professional with sp 2 full version - $ 59 . 95  - corei draw graphics suite 12 - $ 49 . 95  - dreamweaver mx 2004 ( homesite 5 . 5 inciuding ) - $ 39 . 95  - macromedia studio mx 2004 - $ 119 . 95  just browse our site and find any software you need in your native ianquage !  best regards ,  chelsea ",1
"Subject: national charity suffering since 9 / 11  dear friend ,  "" serving the tribes while sharing the culture "" . . . has been the mission for the american indian heritage foundation for the past 29 years .  for many years , aihf has met the emergency requests from hundreds of tribes with food , clothing , medical supplies , emergency grants and more . our student eagle awards program inspires indian youth to aspire and our scholarship program for young indian women has meant more than just financial aid to hundrends of beautiful indian women .  this worthwhile endeavor is entirely funded by very generous people like you who want to help and make a difference . we need your help now more than ever .  click here to learn more . . . maybe you can help .  "" may you always walk in beauty ""  pale moon  we appologize if this message has been an inconvenience . you may comment to our webmaster .",1
"Subject: better sex ! better relationship !  a sex revival with low - priced viagra .  summertime , and the living is easy .  judgement of beauty can err , what with the wine and the dark .  within every adversity is an equal or greater opportunity .",1
"Subject: earn high commissions for booking online  northstar  travel media , llc and  mailpound . com , a division of smart travel technologies , inc .  provide travel professionals with information , services and marketing  solutions  attention :  travel  agents , outside agents , independent agents , corporate travel agents :  ( click for more  information )  mailpound is a trademark of smart travel  technologies , inc .  if you do not want to receive these messages in  the future , please click  here .  please  do not reply to this email . for questions or comments on this offer ,  please contact the supplier .  for all other inquiries , please email us at support @ mailpound . com .  http : / / xent . com / mailman / listinfo / fork",1
"Subject: all graphics software available , cheap oem versions .  good morning ,  we we offer latest oem packages of all graphics and publishinq software from corel , macromedia , adobe and others .  $ 80 adobe photoshop 8 . 0 / cs  $ 140 macromedia studio mx 2004  $ 120 adobe acrobat 7 . 0 professionai  $ 150 adobe premiere pro 1 . 5  $ 90 corei desiqner 10  $ 90 quickbooks 2004 professional edition  $ 75 adobe pagemaker 7 . 0  $ 70 xara x vl . 1  $ 75 adobe audition 1 . 5  $ 90 discreet 3 d studio max 7  $ 115 adobe golive cs  $ 135 adobe after effects 6 . 5 standard  $ 45 adobe premiere elements  $ 125 corel painter lx  $ 80 adobe illustrator cs  $ 80 adobe lndesiqn cs  $ 240 adobe creative suite  $ 140 adobe framemaker 7 . 1  $ 50 ulead cooi 3 d production studio 1 . 0 . 1  $ 90 aiias motion builder 6 professional  $ 30 quicken 2004 premier home & biz  $ 30 adobe photoshop elements 3 . 0  $ 110 adobe premiere pro 7 . 0  learn more . . .  sincereiy ,  beatrice ",1
